generation,node_id,strategy_int,strategy_bits,payoff
0,0,7,111,4815.0
0,1,0,000,5470.0
0,2,6,110,6701.0
0,3,5,101,3327.0
0,4,3,011,2916.0
0,5,0,000,11262.0
0,6,0,000,7196.0
0,7,2,010,3848.0
0,8,4,100,8681.0
0,9,5,101,1691.0
0,10,3,011,2180.0
0,11,4,100,2293.0
0,12,2,010,1869.0
0,13,6,110,216.0
0,14,1,001,2691.0
0,15,0,000,3338.0
0,16,1,001,671.0
0,17,0,000,1354.0
0,18,1,001,982.0
0,19,2,010,1595.0
0,20,4,100,2485.0
0,21,0,000,350.0
0,22,2,010,1053.0
0,23,4,100,3607.0
0,24,4,100,734.0
0,25,2,010,1462.0
0,26,5,101,957.0
0,27,5,101,1203.0
0,28,1,001,2521.0
0,29,5,101,556.0
0,30,0,000,1250.0
0,31,7,111,297.0
0,32,3,011,477.0
0,33,0,000,2188.0
0,34,7,111,150.0
0,35,4,100,1184.0
0,36,4,100,689.0
0,37,7,111,888.0
0,38,2,010,2643.0
0,39,4,100,2967.0
0,40,2,010,2174.0
0,41,0,000,1034.0
0,42,1,001,587.0
0,43,3,011,1057.0
0,44,3,011,160.0
0,45,3,011,306.0
0,46,1,001,950.0
0,47,1,001,1315.0
0,48,5,101,462.0
0,49,3,011,1524.0
0,50,4,100,696.0
0,51,4,100,2137.0
0,52,0,000,1846.0
0,53,0,000,350.0
0,54,7,111,306.0
0,55,1,001,558.0
0,56,4,100,790.0
0,57,6,110,722.0
0,58,4,100,608.0
0,59,0,000,866.0
0,60,6,110,111.0
0,61,4,100,1682.0
0,62,5,101,1757.0
0,63,3,011,609.0
0,64,0,000,1350.0
0,65,3,011,451.0
0,66,0,000,850.0
0,67,0,000,1354.0
0,68,1,001,364.0
0,69,6,110,363.0
0,70,2,010,2131.0
0,71,5,101,801.0
0,72,5,101,309.0
0,73,4,100,1881.0
0,74,5,101,1322.0
0,75,0,000,796.0
0,76,0,000,354.0
0,77,0,000,1850.0
0,78,4,100,834.0
0,79,5,101,2684.0
0,80,0,000,100.0
0,81,4,100,1079.0
0,82,6,110,714.0
0,83,2,010,223.0
0,84,7,111,609.0
0,85,1,001,339.0
0,86,2,010,931.0
0,87,3,011,159.0
0,88,2,010,365.0
0,89,3,011,152.0
0,90,3,011,741.0
0,91,7,111,300.0
0,92,4,100,1332.0
0,93,7,111,318.0
0,94,7,111,456.0
0,95,5,101,690.0
0,96,5,101,554.0
0,97,1,001,336.0
0,98,0,000,492.0
0,99,4,100,834.0
0,100,7,111,456.0
0,101,2,010,816.0
0,102,3,011,318.0
0,103,2,010,1335.0
0,104,5,101,869.0
0,105,0,000,1500.0
0,106,2,010,565.0
0,107,1,001,730.0
0,108,1,001,460.0
0,109,6,110,479.0
0,110,7,111,600.0
0,111,3,011,154.0
0,112,0,000,350.0
0,113,2,010,120.0
0,114,7,111,156.0
0,115,3,011,447.0
0,116,3,011,157.0
0,117,1,001,708.0
0,118,2,010,983.0
0,119,6,110,100.0
0,120,1,001,876.0
0,121,2,010,1084.0
0,122,2,010,364.0
0,123,2,010,1164.0
0,124,3,011,17.0
0,125,5,101,680.0
0,126,7,111,303.0
0,127,0,000,1346.0
0,128,3,011,304.0
0,129,2,010,251.0
0,130,2,010,467.0
0,131,0,000,804.0
0,132,3,011,302.0
0,133,3,011,157.0
0,134,4,100,1846.0
0,135,5,101,1250.0
0,136,5,101,200.0
0,137,0,000,796.0
0,138,5,101,625.0
0,139,2,010,816.0
0,140,7,111,297.0
0,141,1,001,314.0
0,142,7,111,297.0
0,143,4,100,1195.0
0,144,3,011,154.0
0,145,0,000,458.0
0,146,2,010,594.0
0,147,7,111,1050.0
0,148,0,000,108.0
0,149,7,111,303.0
0,150,6,110,470.0
0,151,0,000,904.0
0,152,0,000,542.0
0,153,3,011,172.0
0,154,6,110,354.0
0,155,3,011,176.0
0,156,0,000,1262.0
0,157,3,011,158.0
0,158,3,011,154.0
0,159,1,001,1129.0
0,160,7,111,150.0
0,161,7,111,150.0
0,162,1,001,339.0
0,163,3,011,9.0
0,164,7,111,6.0
0,165,2,010,509.0
0,166,1,001,164.0
0,167,6,110,230.0
0,168,6,110,247.0
0,169,6,110,222.0
0,170,4,100,1121.0
0,171,2,010,251.0
0,172,0,000,296.0
0,173,5,101,1323.0
0,174,4,100,453.0
0,175,5,101,847.0
0,176,1,001,355.0
0,177,7,111,153.0
0,178,6,110,480.0
0,179,4,100,590.0
0,180,6,110,115.0
0,181,4,100,101.0
0,182,7,111,306.0
0,183,1,001,655.0
0,184,5,101,149.0
0,185,2,010,820.0
0,186,7,111,153.0
0,187,4,100,352.0
0,188,7,111,600.0
0,189,5,101,460.0
0,190,5,101,274.0
0,191,5,101,373.0
0,192,5,101,933.0
0,193,5,101,1014.0
0,194,7,111,300.0
0,195,0,000,450.0
0,196,0,000,500.0
0,197,2,010,615.0
0,198,6,110,120.0
0,199,4,100,346.0
0,200,2,010,860.0
0,201,1,001,289.0
0,202,6,110,859.0
0,203,1,001,452.0
0,204,3,011,597.0
0,205,5,101,474.0
0,206,3,011,323.0
0,207,0,000,546.0
0,208,5,101,310.0
0,209,4,100,835.0
0,210,7,111,1185.0
0,211,1,001,164.0
0,212,2,010,804.0
0,213,0,000,304.0
0,214,7,111,306.0
0,215,2,010,358.0
0,216,7,111,453.0
0,217,2,010,567.0
0,218,5,101,617.0
0,219,2,010,250.0
0,220,0,000,104.0
0,221,0,000,992.0
0,222,5,101,211.0
0,223,6,110,359.0
0,224,5,101,359.0
0,225,0,000,350.0
